migration_policy,query_type,cross_value,zipf_theta_value,rw_ratio,cache_hit,avg_latency_us,lat_75_us,lat_95_us,lat_99_us,total_commit
Aging,scan,10,0.5,10,99.7433,14,15,17,22,388168.0
Aging,scan,10,0.5,50,99.746,14,15,17,22,387676.0
Aging,scan,10,0.5,90,99.7438,14,15,17,22,387443.0
Aging,scan,50,0.5,10,99.7405,14,15,17,22,377561.0
Aging,scan,50,0.5,50,99.7405,14,15,17,22,376872.0
Aging,scan,50,0.5,90,99.7407,14,15,17,22,377711.0
Aging,scan,90,0.5,10,99.74,14,15,17,20,374281.0
Aging,scan,90,0.5,50,99.7384,14,15,17,20,375719.0
Aging,scan,90,0.5,90,99.7388,14,15,17,20,373982.0
Clock,scan,10,0.5,10,95.5437,23,14,103,178,185880.0
Clock,scan,10,0.5,50,95.5451,23,14,104,181,186415.0
Clock,scan,10,0.5,90,95.5522,23,14,103,177,186379.0
Clock,scan,50,0.5,10,84.2809,86,137,227,346,54828.2
Clock,scan,50,0.5,50,84.2993,82,133,221,334,55197.7
Clock,scan,50,0.5,90,84.3207,83,132,226,377,55592.6
Clock,scan,90,0.5,10,77.884,156,184,274,1400,33762.3
Clock,scan,90,0.5,50,77.7322,160,190,279,1416,33474.8
Clock,scan,90,0.5,90,77.7659,158,186,274,1340,33571.7
