migration_policy,query_type,cross_value,zipf_theta_value,rw_ratio,cache_hit,avg_latency_us,lat_75_us,lat_95_us,lat_99_us,total_commit
Aging,rmw,10,0.5,10,79.8719,212,212,383,447,27453.5
Aging,rmw,10,0.5,50,86.1095,127,150,233,314,45141.1
Aging,rmw,10,0.5,90,94.9446,38,55,78,120,147083.0
Aging,rmw,10,0.7,10,85.1146,220,214,405,521,26484.2
Aging,rmw,10,0.7,50,88.3834,133,153,257,349,43624.1
Aging,rmw,10,0.7,90,94.9873,39,55,85,153,143942.0
Aging,rmw,10,0.99,10,93.3278,413,432,1307,2522,14476.1
Aging,rmw,10,0.99,50,93.8823,230,255,702,1299,25533.1
Aging,rmw,10,0.99,90,95.6062,60,54,207,445,96196.1
Aging,rmw,50,0.5,10,58.5616,248,245,418,465,23691.0
Aging,rmw,50,0.5,50,71.5829,137,161,237,314,42654.3
Aging,rmw,50,0.5,90,90.9581,39,56,80,104,143998.0
Aging,rmw,50,0.7,10,60.8285,260,319,436,598,22417.8
Aging,rmw,50,0.7,50,72.1066,146,165,274,374,39937.6
Aging,rmw,50,0.7,90,90.7948,40,56,82,150,141143.0
Aging,rmw,50,0.99,10,80.5436,519,558,1595,2843,11593.2
Aging,rmw,50,0.99,50,81.471,298,338,951,1762,19772.2
Aging,rmw,50,0.99,90,91.0211,68,72,218,459,84519.2
Aging,rmw,90,0.5,10,52.8173,242,238,416,469,23836.8
Aging,rmw,90,0.5,50,66.5781,134,150,213,301,43185.2
Aging,rmw,90,0.5,90,90.1079,41,60,82,105,138110.0
Aging,rmw,90,0.7,10,54.023,268,327,439,580,21829.1
Aging,rmw,90,0.7,50,66.9617,144,165,266,365,40217.6
Aging,rmw,90,0.7,90,89.9242,42,59,82,153,136689.0
Aging,rmw,90,0.99,10,76.4337,597,632,1871,3739,9974.15
Aging,rmw,90,0.99,50,77.7892,331,375,1010,2077,17532.3
Aging,rmw,90,0.99,90,90.1201,71,74,233,480,81113.9
Aging,scan,10,0.5,10,99.7428,14,15,17,22,386498.0
Aging,scan,10,0.5,50,99.7439,14,15,17,22,386482.0
Aging,scan,10,0.5,90,99.7471,14,15,17,22,387718.0
Aging,scan,10,0.7,10,99.7392,14,15,20,25,374974.0
Aging,scan,10,0.7,50,99.7379,14,15,20,25,375140.0
Aging,scan,10,0.7,90,99.7382,14,15,20,25,373996.0
Aging,scan,10,0.99,10,99.71,16,20,27,35,322224.0
Aging,scan,10,0.99,50,99.7102,16,20,27,36,323236.0
Aging,scan,10,0.99,90,99.7124,16,20,27,36,321725.0
Aging,scan,50,0.5,10,99.7402,14,15,17,21,377213.0
Aging,scan,50,0.5,50,99.7427,14,15,17,21,377804.0
Aging,scan,50,0.5,90,99.7418,14,15,17,21,378707.0
Aging,scan,50,0.7,10,99.7373,14,16,18,24,371462.0
Aging,scan,50,0.7,50,99.7397,14,15,18,23,372778.0
Aging,scan,50,0.7,90,99.738,14,16,18,23,373896.0
Aging,scan,50,0.99,10,99.722,15,17,23,29,348134.0
Aging,scan,50,0.99,50,99.7209,15,17,23,29,348225.0
Aging,scan,50,0.99,90,99.7209,15,17,24,29,348576.0
Aging,scan,90,0.5,10,99.7405,14,15,17,20,375896.0
Aging,scan,90,0.5,50,99.7406,14,15,17,19,375559.0
Aging,scan,90,0.5,90,99.7406,14,15,17,19,375185.0
Aging,scan,90,0.7,10,99.7403,14,15,17,21,375578.0
Aging,scan,90,0.7,50,99.7411,14,15,17,21,377068.0
Aging,scan,90,0.7,90,99.7396,14,15,17,21,376440.0
Aging,scan,90,0.99,10,99.7386,14,15,18,23,372424.0
Aging,scan,90,0.99,50,99.7399,14,15,18,23,374237.0
Aging,scan,90,0.99,90,99.7378,14,15,18,23,372764.0
Clock,rmw,10,0.5,10,80.6182,224,220,428,506,24174.9
Clock,rmw,10,0.5,50,85.0692,138,156,279,375,37842.6
Clock,rmw,10,0.5,90,90.6836,51,58,151,260,77683.8
Clock,rmw,10,0.7,10,85.6406,231,221,429,582,24319.0
Clock,rmw,10,0.7,50,88.7798,143,158,286,404,37906.4
Clock,rmw,10,0.7,90,93.0364,49,58,141,239,92487.4
Clock,rmw,10,0.99,10,93.4078,412,445,1373,2812,14190.5
Clock,rmw,10,0.99,50,93.8909,236,259,737,1560,25002.1
Clock,rmw,10,0.99,90,95.7267,62,57,219,470,89337.9
Clock,rmw,50,0.5,10,47.2719,332,452,543,752,13753.0
Clock,rmw,50,0.5,50,58.2864,217,292,414,675,16992.9
Clock,rmw,50,0.5,90,73.2767,150,183,499,683,23193.2
Clock,rmw,50,0.7,10,55.5289,321,430,543,827,15296.9
Clock,rmw,50,0.7,50,64.9639,212,275,402,677,20638.7
